word,definition,pronunciation
Yogibogeybox,Materials used by a spiritualist,yojibojeboks
Pseudolatry,False worship,pseutolatr
Kainotophobia,Fear of change,kainotofobia
Oenology,Study of wines,oenoloj
Urenology,Study of rust molds,urenoloj
Nebule,Wavy moulding,nebule
Bibliolatry,Worship of the Bible or other books,bibliolatr
Vraisemblance,Verisimilitude,fraisemblanse
Xylocarp,Hard and woody fruit,slokarp
Jabot,Lace frill worn on shirt or dress front,jabot
Rom,A gypsy man,rom
Neogamist,Newlywed,neokamist
Mavrodaphne,Sweet dark red Greek wine,mafrotafne
Muonium,Positively-charged muon attached to an electron,muonium
Winkler,One who extracts or forces something out little by little,winkler
Wastel,Sweet flaky bread made with fine flour and butter,wastel
Onomancy,Divination using proper names,onomans
Nigricant,Of a blackish colour,nikrikant
Zemirah,Hebrew religious song sung at Sabbath meals,semira
Fresnel,Unit of optical frequency equal to one terahertz,fresnel
Veduta,Panoramic view of a town,fetuta
Wheaten,The golden colour of ripe wheat,weaten
Immanation,Flowing in,imanaxion
Graminology,Study of grasses,kraminoloj
Ergotise,To wrangle,erkotise
Fundiform,Shaped like a sling,funtiform
Xerophobous,Unable to survive drought,serofobous
Jural,"Of, like or pertaining to the law",jural
Lurdan,Lazy and dull individual,lurtan
Ferronière,Jewel held on the forehead by a chain,feroniere
Hagiology,Study of saints,hajioloj
Overset,To upset; to disorder,oferset
Gambrel,Horse's hock,kambrel
Moineau,Small flat bastion that protects fortification when being built,moineau
Zoonic,"Of, like or pertaining to or derived from animals",sonik
Aponia,Painlessness,aponia
Urochs,Extinct wild ox or bison,urokshs
Supra,Above; earlier in a text,supra
Gynocracy,Government by women; gynarchy,jnokras
Intitule,To endow or furnish with a title,intitule
Illuvium,Material dissolved in water and deposited in layers,ilufium
Homotaxic,Arranged in a similar manner,homotaksik
Misyoke,To yoke or marry unsuitably,misyoke
Atelier,Artist's studio or workshop,atelier
Gastroenterology,Study of stomach; intestines,kastroenteroloj
Hyoid,"Having a ""U"" shape",hyoit
Aberdevine,Alternate name for the siskin,abertefine
Nomenclator,Lexicon; word-list; one who assigns names,nomenklator
Tablature,Mental image or picture; plate-like surface or object,tablature
Cyrenaic,Adherent of doctrine that pleasure is ultimate goal,srenaik
Logomancy,Divination using words,lokomans
Zoocephalic,Animal-headed,sosefalik
Guttatim,Drop by drop,kutatim
Xenoglossia,Person's knowledge of a language never studied,senokloksia
Rampallion,Scoundrel; villain,rampalion
Pliofilm,Thin waterproof transparent sheet used for packaging,pliofilm
Punctatim,Point for point,punktatim
Heterology,Differences due to different origin,heteroloj
Preterite,Signifying past time or a completed action,preterite
Detumescence,Diminution of swelling,tetumessense
Querulist,One who complains,kuerulist
Zari,Indian gold and silver brocade,sari
Ascesis,The practice of disciplining oneself; asceticism,assesis
Ireless,Without anger or ire,ireles
Breedbate,Someone looking for an argument,bretbate
Knag,Knot in wood,na
Underlap,Piece of material that extends under another,unterlap
Kantikoy,To dance as an act of worship,kantiko
Jointure,Property granted to wife for use after husband's death,jointure
Gerontogenous,"Of, like or pertaining to the Old World",jerontojenous
Jobation,Tedious scolding,jobaxion
Schwärmerei,Sentimental enthusiasm; wild devotion,skhwarmerei
Jackanapes,Impudent child; conceited fellow,jakanapes
Razzmatazz,Meaningless talk; hype; nonsense,rasmataz
Necrolatry,Worship of the dead,nekrolatr
Incalescent,Growing warm,inkalessent
Burrole,An eavesdropper,burole
Malacophilous,Pollinated by snails,malakofilous
Fuligo,Soot,fuliko
Pinchbeck,Cheap copper and zinc alloy; spurious or trashy,pinkshbek
Bosun,Boatswain,bosun
Appendant,Attached to; hanging from; adjunct,apentant
Seen,Considering; inasmuch as,sen
Rivel,To shrivel; to shrink,rifel
Chrysophilist,Gold-lover,shrsofilist
Gadroon,Embossed decoration or fluting on silverware,katron
Hauteur,Haughtiness; arrogance,hauteur
Wieldless,Unmanageable,wieltles
Widget,Any small manufactured object,wijjet
Inurbanity,Lack of manners or deportment; incivility,inurbanit
Underwit,Inferior wit; half-wit,unterwit
Katabothron,Underground water-channel,katabothron
Kef,State of dreamy or drug-induced repose,kef
Magnicaudate,Having a long tail,maknikautate
Alkalimeter,Instrument for measuring strength of alkalines,alkalimeter
Yawny,Prone to yawning; characterized by yawning,yan
Jocose,Merry; characterized by joking,jokose
Hod,V-shaped trough for carrying bricks or mortar on the shoulders,hot
Xenodocheionology,Love of hotels,senotoksheionoloj
Captious,Peevish; ready to take offence or find fault,kapxious
Retrocede,To move back; to cede back; to grant back,retrosete
Dornick,Stout linen,tornik
Stylometry,Studying literature by means of statistical analysis,stlometr
Foulé,Light woollen fulled cloth,foule
Farrago,Confused mass of objects or people; disordered mixture,farako
Parastatal,Indirectly controlled by the state,parastatal
Scialytic,Dispelling shadows,sksialtik
Snallygaster,Mythical monster of Maryland,snalkaster
Jongleur,Wandering minstrel,jonkleur
Zirconic,Of or pertaining to zirconium,sirkonik
Lactiferous,Milk-bearing,laktiferous
Redoubt,Rough and temporary fortification,retoubt
Recaption,Reprisal; taking back that which is unlawfully obtained,rekapxion
Vagient,Crying like a baby,fajient
Unsinew,To take the strength from,unsine
Prebendal,"Of, like or pertaining to stipends issued by a church",prebental
Geomancy,Divination by casting earth onto a surface,jeomans
Burgage,Tenure in socage for a yearly rent,burkaje
Logodaedaly,Verbal legerdemain,lokotaetal
Fanal,Lighthouse or beacon,fanal
Microanatomy,Study of microscopic tissues,mikroanatom
Xerosis,Abnormal dryness of body parts,serosis
Whicker,To neigh; to bleat,wiker
Yachty,Relating to yachts,yaksht
Quirly,Hand-rolled cigarette,kuirl
Jemadar,An Indian police or customs officer,jematar
Chevalet,Bridge of a stringed instrument,shefalet
Napoh,Southeast Asian mouse deer,napo
Yealing,Person of the same age,yealink
Quetzal,Gold and green bird with long tail feathers,kuetsal
Jive,Fast dance done to jazz or swing music,jife
Plurinominal,Having more than one name,plurinominal
Kathenotheism,Polytheism in which several gods are considered supreme in succession,kathenotheism
Succenturiate,To supply what is lacking; to supplement,suksenturiate
Kedge,Small anchor to keep a ship steady,kejje
Optics,Study of light,optiks
Jess,Ringed strap tied to leg of falcon or hawk,jes
Intumesce,To enlarge; to swell; to bubble,intumesse
Upsy,In the manner of; thoroughly,ups
Vilayet,Former Ottoman province,filayet
Monochroic,Of one colour,monokshroik
Jus,Law; legal right,jus
Bail,Barrier or pole separating horses in an open stable,bail
Geocarpy,The production or ripening of fruit underground,jeokarp
Gerdoying,Imitation sound of a crash,jertoyink
Zouk,Caribbean disco dance and corresponding type of fast rhythmic music,souk
Macrotous,Big-eared,makrotous
Triptote,Used in three cases only,triptote
Quadratrix,A curve by which a circle may be squared,kuatratriks
Narcomania,Uncontrollable craving for narcotics,narkomania
Phylliform,Shaped like a leaf,fliform
Orpiment,Yellow arsenic compound used as pigment,orpiment
Yuke,To itch,yuke
Hygrometer,Instrument for measuring air moisture,hkrometer
Xenogenous,Due to an outside cause,senojenous
Parotic,Near or adjacent to the ear,parotik
Redargue,To refute; to confute,retarkue
Georgette,Thin silk,jeorjete
Bilbo,Iron bar used to shackle prisoners' feet,bilbo
Woopie,Well-off older person,wopie
Quidam,A certain person; somebody,kuitam
Panharmonicon,Mechanical musical instrument operated by a cylinder,panharmonikon
Divaricate,To divide into two branches,tifarikate
Marigraph,Instrument for recording tide levels,marikraf
Extravasate,To let out of the proper vessels; to flow out,ekstrafasate
Flagitate,To entreat or importune,flajitate
Unigenous,"Of the same origin, kind or sort",unijenous
Proper,Elements of Christian mass that are variable,proper
Ozostomia,Bad breath,osostomia
Wapiti,Elk,wapiti
Javelot,Small spear or javelin,jafelot
Stomatology,Study of the mouth,stomatoloj
Yede,To go,yete
Numismatics,Study of coins,numismatiks
Wordbound,Unable to find expression in words,wortbount
Catalectic,Incomplete; missing final syllable,katalektik
Auriferous,Bearing gold,auriferous
Onager,Asiatic wild ass,onajer
Blanket,Coarse woollen cloth,blanket
Uranic,Of the palate,uranik
Quadrivoltine,Having four litters in a single year,kuatrifoltine
Mortalism,Belief that the soul is mortal,mortalism
Coscinomancy,Divination using a sieve and a pair of shears,kossinomans
Xyloid,Woody; ligneous,sloit
Anopheline,"Of, like or pertaining to malarial mosquitoes",anofeline
Doxastic,"Of, like or pertaining to opinion",toksastik
Sexton,Church caretaker or bellringer,sekston
Ubication,Condition of being in a certain location,ubikaxion
Quatern,Arranged in fours,kuatern
Undinism,Psychological obsession with urine and urination,untinism
Marimbaphone,Marimba with steel keys,marimbafone
Telega,Four-wheeled springless wagon,teleka
Deadstock,Farm equipment,teatstok
Yogh,Letter in Middle English representing y or 'hh' sound,yof
Ravelin,Detached work with two embankments,rafelin
Nepotation,Riotous behaviour; profligacy,nepotaxion
Bottine,Small boot,botine
Raniform,Frog-like,raniform
Erogenesis,Induction of sexual desire; production of arousal,erojenesis
Taeniate,Like a ribbon or tapeworm,taeniate
Apaesthesia,Numbness or loss of sensation in a limb,apaestheksia
Quern,Stone mill worked by hand,kuern
Fandango,Lively Spanish dance performed by a couple,fantanko
Fane,Flag or banner; weather-cock,fane
Yomp,To carry heavy equipment over difficult terrain,yomp
Wanchancy,Unlucky; uncanny,wankshans
Epidiascope,Instrument for projecting images of objects; magic lantern for projection,epixiaskope
Thermogenesis,Production of heat,thermojenesis
Erythraean,Reddish colour,erthraean
Spoliate,To despoil; to plunder,spoliate
Zydeco,Louisiana Creole dance music,steko
Zemni,Blind mole-rat,semni
Yogic,Of or pertaining to yoga,yojik
Oread,Mountain nymph,oreat
Jentacular,"Of, like or pertaining to breakfast",jentakular
Zetetic,Proceeding by inquiry; a search or investigation,setetik
Wretchock,Smallest or weakest of a brood,retkshok
Visometer,Instrument for measuring focal length of the eye,fisometer
Blain,A boil or blister,blain
Zonelet,A little zone,sonelet
Grapholagnia,Obsession with obscene pictures,krafolaknia
Gromatics,Science of surveying,kromatiks
Zibeline,Soft piled wool,sibeline
Traditive,Traditional,tratitife
Toft,A small hill,toft
