word,definition,pronunciation
Proairesis,The act of choosing,proairesis
Yogibogeybox,Materials used by a spiritualist,yojibojeboks
Pseudolatry,False worship,pseutolatr
Kainotophobia,Fear of change,kainotofobia
Kermes,Brilliant red colour; a red dye derived from insects,kermes
Sough,Drain; sewer; adit,souf
Oenology,Study of wines,oenoloj
Zosterops,Small tropical bird with a ring of white feathers around the eyes,sosterops
Urenology,Study of rust molds,urenoloj
Nebule,Wavy moulding,nebule
Bibliolatry,Worship of the Bible or other books,bibliolatr
Vraisemblance,Verisimilitude,fraisemblanse
Xylocarp,Hard and woody fruit,slokarp
Reliquiae,Remains,relikuiae
Psophometer,Instrument measuring audible interference of electrical current,psofometer
Jabot,Lace frill worn on shirt or dress front,jabot
Rom,A gypsy man,rom
Fungous,Of or like fungus; soft; spongy,funkous
Neogamist,Newlywed,neokamist
Lability,Plasticity; openness to change or breakdown,labilit
Mavrodaphne,Sweet dark red Greek wine,mafrotafne
Muonium,Positively-charged muon attached to an electron,muonium
Winkler,One who extracts or forces something out little by little,winkler
Wastel,Sweet flaky bread made with fine flour and butter,wastel
Onomancy,Divination using proper names,onomans
Nigricant,Of a blackish colour,nikrikant
Zemirah,Hebrew religious song sung at Sabbath meals,semira
Fresnel,Unit of optical frequency equal to one terahertz,fresnel
Veduta,Panoramic view of a town,fetuta
Wheaten,The golden colour of ripe wheat,weaten
Immanation,Flowing in,imanaxion
Graminology,Study of grasses,kraminoloj
Ergotise,To wrangle,erkotise
Fundiform,Shaped like a sling,funtiform
Xerophobous,Unable to survive drought,serofobous
Jural,"Of, like or pertaining to the law",jural
Lurdan,Lazy and dull individual,lurtan
Ferronière,Jewel held on the forehead by a chain,feroniere
Hagiology,Study of saints,hajioloj
Overset,To upset; to disorder,oferset
Gambrel,Horse's hock,kambrel
Moineau,Small flat bastion that protects fortification when being built,moineau
Zoonic,"Of, like or pertaining to or derived from animals",sonik
Aponia,Painlessness,aponia
Urochs,Extinct wild ox or bison,urokshs
Supra,Above; earlier in a text,supra
Gynocracy,Government by women; gynarchy,jnokras
Intitule,To endow or furnish with a title,intitule
Illuvium,Material dissolved in water and deposited in layers,ilufium
Homotaxic,Arranged in a similar manner,homotaksik
Misyoke,To yoke or marry unsuitably,misyoke
Atelier,Artist's studio or workshop,atelier
Gastroenterology,Study of stomach; intestines,kastroenteroloj
Hyoid,"Having a ""U"" shape",hyoit
Aberdevine,Alternate name for the siskin,abertefine
Nomenclator,Lexicon; word-list; one who assigns names,nomenklator
Tablature,Mental image or picture; plate-like surface or object,tablature
Cyrenaic,Adherent of doctrine that pleasure is ultimate goal,srenaik
Logomancy,Divination using words,lokomans
Zoocephalic,Animal-headed,sosefalik
Guttatim,Drop by drop,kutatim
Xenoglossia,Person's knowledge of a language never studied,senokloksia
Rampallion,Scoundrel; villain,rampalion
Pliofilm,Thin waterproof transparent sheet used for packaging,pliofilm
Punctatim,Point for point,punktatim
Heterology,Differences due to different origin,heteroloj
Preterite,Signifying past time or a completed action,preterite
Detumescence,Diminution of swelling,tetumessense
Querulist,One who complains,kuerulist
Zari,Indian gold and silver brocade,sari
Ascesis,The practice of disciplining oneself; asceticism,assesis
Ireless,Without anger or ire,ireles
Breedbate,Someone looking for an argument,bretbate
Knag,Knot in wood,na
Underlap,Piece of material that extends under another,unterlap
Kantikoy,To dance as an act of worship,kantiko
Jointure,Property granted to wife for use after husband's death,jointure
Gerontogenous,"Of, like or pertaining to the Old World",jerontojenous
Jobation,Tedious scolding,jobaxion
Schwärmerei,Sentimental enthusiasm; wild devotion,skhwarmerei
Jackanapes,Impudent child; conceited fellow,jakanapes
Razzmatazz,Meaningless talk; hype; nonsense,rasmataz
Necrolatry,Worship of the dead,nekrolatr
Incalescent,Growing warm,inkalessent
Burrole,An eavesdropper,burole
Malacophilous,Pollinated by snails,malakofilous
Fuligo,Soot,fuliko
Pinchbeck,Cheap copper and zinc alloy; spurious or trashy,pinkshbek
Bosun,Boatswain,bosun
Appendant,Attached to; hanging from; adjunct,apentant
Seen,Considering; inasmuch as,sen
Rivel,To shrivel; to shrink,rifel
Chrysophilist,Gold-lover,shrsofilist
Gadroon,Embossed decoration or fluting on silverware,katron
Hauteur,Haughtiness; arrogance,hauteur
Wieldless,Unmanageable,wieltles
Widget,Any small manufactured object,wijjet
Inurbanity,Lack of manners or deportment; incivility,inurbanit
Underwit,Inferior wit; half-wit,unterwit
Katabothron,Underground water-channel,katabothron
Kef,State of dreamy or drug-induced repose,kef
Magnicaudate,Having a long tail,maknikautate
Alkalimeter,Instrument for measuring strength of alkalines,alkalimeter
Yawny,Prone to yawning; characterized by yawning,yan
Jocose,Merry; characterized by joking,jokose
